Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,20,0,13000.0,12087.029099999927,6847.634500001732,19736.86110000199,14287.0,0.07521324460094098,0.0,13000,13000,13000,13000,13000,20000,20000,20000,20000,20000,20000
POST,auth:login_submit,20,0,4800.0,4612.194195000302,875.1462000000174,6737.630300001911,0.0,0.07521324460094098,0.0,6600,6600,6600,6700,6700,6700,6700,6700,6700,6700,6700
GET,auth:logout,19,1,21000.0,23681.193178947557,20611.03170000206,27638.099100000545,2687.684210526316,0.07145258237089393,0.0037606622300470484,21000,27000,27000,28000,28000,28000,28000,28000,28000,28000,28000
GET,core:agente_api_pool_disponible,31,0,4300.0,4927.357535484325,172.6758000004338,11895.6700000017,31.0,0.1165805291314585,0.0,4300,7600,9200,9700,11000,12000,12000,12000,12000,12000,12000
GET,core:agente_api_programas,47,0,840.0,3040.181776595846,205.46510000349372,11188.291500002379,604.0,0.17675112481221128,0.0,840,4700,6500,6800,8900,9300,11000,11000,11000,11000,11000
GET,core:agente_generar_lote,48,0,1100.0,3111.274639583371,301.52820000148495,10086.265699999785,11869.0,0.18051178704225834,0.0,1300,2500,6200,7200,8700,9800,10000,10000,10000,10000,10000
GET,core:agente_home,48,0,3000.0,3849.0761229165855,367.0519000006607,9441.55099999989,13149.0,0.18051178704225834,0.0,3100,6100,7200,7600,8600,9000,9400,9400,9400,9400,9400
GET,core:api_conteo_estudiantes,27,0,1100.0,3352.0559444442806,204.6347000032256,12782.690300002287,155.0,0.10153788021127032,0.0,1100,2600,6900,7700,8800,8900,13000,13000,13000,13000,13000
GET,core:api_focalizaciones_existentes,68,0,3500.0,4713.879022058953,229.09699999945587,14027.361100001144,302.0,0.2557250316431993,0.0,3700,7300,8700,8800,9800,12000,13000,14000,14000,14000,14000
GET,core:api_focalizaciones_programa,66,0,3000.0,3827.650681818065,200.22760000210837,11853.41729999709,26.0,0.2482037071831052,0.0,3200,5900,6800,7300,8300,9000,10000,12000,12000,12000,12000
GET,core:api_sedes_completas,66,0,1400.0,3476.6011136362067,198.11290000143345,11888.267900001665,3112.0,0.2482037071831052,0.0,1500,4900,6700,7500,9500,10000,12000,12000,12000,12000,12000
GET,core:contabilidad_api_dashboard_unificado,69,0,1600.0,3706.9390594203824,378.0232999997679,11607.403999998496,8763.0,0.2594856938732463,0.0,1600,6000,6900,7600,8400,9200,10000,12000,12000,12000,12000
GET,core:contabilidad_api_registros,71,0,2700.0,4282.941826760678,248.75609999799053,12903.426799999579,4454.0,0.26700701833334045,0.0,2700,6800,8300,8600,9200,11000,12000,13000,13000,13000,13000
GET,core:contabilidad_home,51,0,1500.0,3954.3373176467653,187.2748000023421,13940.542500000447,8905.0,0.19179377373239948,0.0,1500,5500,7800,7900,11000,12000,12000,14000,14000,14000,14000
GET,core:contabilidad_mis_registros,50,0,1400.0,3330.2225120001094,195.5310000012105,11636.242700002185,12437.0,0.18803311150235244,0.0,1500,4600,7300,7700,9000,9700,12000,12000,12000,12000,12000
GET,core:dashboard,78,0,1400.0,3710.897953846236,186.32939999952214,12608.235100000456,9944.0,0.2933316539436698,0.0,1600,6100,7200,7700,8600,10000,12000,13000,13000,13000,13000
GET,core:facturacion_home,50,0,1300.0,3744.86149999997,245.74629999915487,13864.978000001429,9028.0,0.18803311150235244,0.0,2000,5500,7100,7700,9000,12000,14000,14000,14000,14000,14000
GET,core:facturacion_reportes,49,0,1400.0,3081.414351020334,263.32430000184104,12801.736000001256,21126.0,0.18427244927230538,0.0,1400,2200,6400,7100,9400,10000,13000,13000,13000,13000,13000
GET,ctx:agente_programas,20,0,2100.0,2832.5963749999573,346.6742999989947,6614.190800002689,604.0,0.07521324460094098,0.0,2200,3400,4100,6600,6600,6600,6600,6600,6600,6600,6600
GET,ctx:focalizaciones,120,0,780.0,1378.485981666472,173.14009999972768,5253.972700000304,22.666666666666668,0.4512794676056458,0.0,790,1200,1700,3100,3400,3700,4800,4900,5300,5300,5300
GET,ctx:modalidad_pool_probe,20,0,740.0,1294.3908600002032,178.20859999847016,4129.096700002265,31.0,0.07521324460094098,0.0,810,1100,1700,3000,4000,4100,4100,4100,4100,4100,4100
GET,ctx:sedes_completas,120,0,690.0,1299.7943524999148,178.9652000006754,4683.543200000713,543.6666666666666,0.4512794676056458,0.0,700,1000,1500,2600,3600,4300,4400,4600,4700,4700,4700
,Aggregated,1158,1,1300.0,3684.331864853182,172.6758000004338,27638.099100000545,5301.036269430052,4.354846862394482,0.0037606622300470484,1300,3900,6600,7400,9100,12000,13000,21000,28000,28000,28000
