Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,5,0,3600.0,3592.2321400001238,3575.4151999972237,3621.105499998521,14287.0,0.016401703088531793,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
POST,auth:login_submit,5,0,1200.0,1150.315340000816,515.6255000001693,1778.8158000003023,0.0,0.016401703088531793,0.0,1200,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800
GET,auth:logout,2,0,4210.774700000911,4214.81760000097,4210.774700000911,4218.860500001028,2837.0,0.006560681235412718,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,ctx:agente_programas,5,0,720.0,768.2081000006292,215.5525000016496,1441.3485000004584,604.0,0.016401703088531793,0.0,720,1100,1100,1400,1400,1400,1400,1400,1400,1400,1400
GET,ctx:focalizaciones,30,0,200.0,354.2224633331595,163.11379999751807,3898.727299998427,22.666666666666668,0.09841021853119075,0.0,210,260,270,290,360,410,3900,3900,3900,3900,3900
GET,ctx:modalidad_pool_probe,5,0,210.0,229.6729800000321,175.29309999736142,293.8936999998987,31.0,0.016401703088531793,0.0,210,290,290,290,290,290,290,290,290,290,290
GET,ctx:sedes_completas,30,0,210.0,705.208373333638,177.025600001798,3792.2470000012254,543.6666666666666,0.09841021853119075,0.0,230,280,310,370,3700,3800,3800,3800,3800,3800,3800
POST,ia:dashboard_nia_chat,397,397,280.0,346.2748516372739,123.14089999927091,3492.5603000010597,1961.8916876574308,1.3022952252294244,1.3022952252294244,280,300,310,320,420,630,2000,2500,3500,3500,3500
POST,ia:dashboard_nia_reset,224,224,280.0,327.5756874999973,148.48630000051344,3548.3405999984825,1950.9955357142858,0.7347962983662243,0.7347962983662243,280,290,300,310,380,530,1300,2100,3500,3500,3500
,Aggregated,703,621,280.0,397.95558065435404,123.14089999927091,4218.860500001028,1867.9487908961594,2.30607945424757,2.037091523595649,280,300,310,320,480,1100,3500,3600,4200,4200,4200
