Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,30,0,11000.0,10556.31914333353,5059.3232000028365,16692.707999998674,14287.0,0.04375177110419538,0.0,11000,11000,11000,12000,12000,12000,17000,17000,17000,17000,17000
POST,auth:login_submit,30,0,5400.0,4666.309369999726,929.4783999976062,6040.750000000116,0.0,0.04375177110419538,0.0,5400,5500,5700,5800,5800,5900,6000,6000,6000,6000,6000
GET,core:agente_api_pool_disponible,299,0,1100.0,1822.8020672240236,180.45880000136094,7344.856799998524,31.0,0.43605931867181397,0.0,1100,2700,3300,3600,4000,4300,4800,5200,7300,7300,7300
GET,core:agente_api_programas,414,0,760.0,1328.5651995169246,170.82060000029742,5995.872399998916,604.0,0.6037744412378963,0.0,760,1200,1800,2300,3700,4100,4600,4900,6000,6000,6000
GET,core:agente_generar_lote,415,0,990.0,1588.8363843373656,176.90589999983786,5928.122100001929,11869.0,0.6052328336080361,0.0,990,1700,2500,2900,3700,4200,4700,5000,5900,5900,5900
GET,core:agente_home,417,0,1100.0,1913.9426239807872,229.67849999986356,5593.5585999977775,13149.0,0.6081496183483158,0.0,1100,3000,3500,3700,4200,4600,4700,4900,5600,5600,5600
GET,core:api_conteo_estudiantes,280,0,1200.0,1899.0874214286375,175.27100000006612,5907.082799996715,155.0,0.40834986363915693,0.0,1200,3000,3500,3600,4100,4400,4400,4600,5900,5900,5900
GET,core:api_focalizaciones_existentes,577,0,1000.0,1829.9281741768111,178.1023000003188,5542.176900002232,302.0,0.8414923975706912,0.0,1000,2800,3400,3700,4100,4400,5000,5200,5500,5500,5500
GET,core:api_focalizaciones_programa,577,0,960.0,1471.8456161178558,178.01820000022417,5306.093999999575,26.0,0.8414923975706912,0.0,960,1500,2200,2700,3700,4200,4400,4500,5300,5300,5300
GET,core:api_sedes_completas,575,0,800.0,1303.715382956611,180.8737999999721,5647.913300002983,3112.0,0.8385756128304115,0.0,800,1100,1600,2100,3400,4100,4600,4800,5600,5600,5600
GET,core:contabilidad_api_dashboard_unificado,553,0,1100.0,1587.4808560578324,306.98999999731313,5878.554800001439,8763.0,0.8064909806873349,0.0,1100,1500,2300,2700,3800,4200,4600,5000,5900,5900,5900
GET,core:contabilidad_api_registros,555,0,1000.0,1847.7809036035665,242.46950000087963,5953.493600001821,4454.0,0.8094077654276146,0.0,1000,2700,3500,3800,4100,4500,4800,5400,6000,6000,6000
GET,core:contabilidad_home,562,0,1100.0,1859.7362177935524,166.8262000021059,7088.0975000000035,8905.0,0.8196165120185935,0.0,1100,3000,3500,3700,4100,4300,4600,4800,7100,7100,7100
GET,core:contabilidad_mis_registros,561,0,950.0,1462.4101618538928,184.5976000004157,7327.273999999306,12437.0,0.8181581196484536,0.0,950,1500,2300,2600,3600,4000,4500,5000,7300,7300,7300
GET,core:dashboard,613,0,1000.0,1842.4323814031213,171.54429999936838,5182.638099999167,9944.0,0.8939945228957257,0.0,1000,3000,3500,3700,4100,4300,4700,4900,5200,5200,5200
GET,core:facturacion_home,523,0,1000.0,1904.5090573613434,172.49270000320394,6578.483699999197,9028.0,0.7627392095831396,0.0,1000,3000,3600,3800,4200,4500,4900,5200,6600,6600,6600
GET,core:facturacion_reportes,523,0,940.0,1477.9049187380085,213.81670000118902,5490.35499999809,21126.0,0.7627392095831396,0.0,940,1500,2200,2600,3600,4100,4600,4700,5500,5500,5500
GET,ctx:agente_programas,30,0,5400.0,4042.214396666653,490.336800001387,6960.999800001446,604.0,0.04375177110419538,0.0,5400,5400,5800,5800,6000,6400,7000,7000,7000,7000,7000
GET,ctx:focalizaciones,180,0,1100.0,2160.107871111176,169.50089999954798,7163.792499999545,22.666666666666668,0.2625106266251723,0.0,1200,2900,4100,4500,5400,5800,5900,6000,7200,7200,7200
GET,ctx:modalidad_pool_probe,30,0,820.0,1408.184623333121,204.1824000007182,5640.018699999928,31.0,0.04375177110419538,0.0,900,1100,1600,2500,4700,5200,5600,5600,5600,5600,5600
GET,ctx:sedes_completas,180,0,1000.0,2049.771745555558,180.7083000021521,6144.413900001382,543.6666666666666,0.2625106266251723,0.0,1000,3000,3900,4300,5200,5400,5800,5800,6100,6100,6100
,Aggregated,7924,0,990.0,1739.5748575214707,166.8262000021059,16692.707999998674,6865.931221605249,11.556301140988142,0.0,990,2000,3100,3400,4100,4400,5200,5600,11000,17000,170
