Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,40,0,12000.0,13366.76058999974,5933.773999997356,24596.04009999748,14287.0,0.1418148400852184,0.0,12000,16000,19000,22000,22000,25000,25000,25000,25000,25000,25000
POST,auth:login_submit,40,0,6300.0,7411.396700000204,1044.4438999984413,21851.598200002627,0.0,0.1418148400852184,0.0,6300,6700,8900,9600,13000,18000,22000,22000,22000,22000,22000
GET,auth:logout,37,3,41000.0,37735.84733513525,28862.09720000261,42055.18429999938,2606.972972972973,0.13117872707882705,0.010636113006391381,41000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,core:agente_api_pool_disponible,86,0,1200.0,2606.2146511627193,179.477699999552,7895.574099999067,31.0,0.3049019061832196,0.0,1300,4300,4900,5300,5800,6200,6600,7900,7900,7900,7900
GET,core:agente_api_programas,101,0,990.0,2245.140190099,178.20270000083838,8102.1585000016785,604.0,0.3580824712151765,0.0,990,3300,4600,4700,5200,5600,5900,7300,8100,8100,8100
GET,core:agente_generar_lote,103,0,1200.0,2347.2737601941403,235.12100000152714,7132.8915000012785,11869.0,0.3651732132194374,0.0,1200,3500,4700,4900,5500,5800,6800,6800,7100,7100,7100
GET,core:agente_home,103,0,1100.0,2523.097688349401,191.00429999889457,9586.946799998259,13149.0,0.3651732132194374,0.0,1100,4200,4900,5400,5900,6500,6900,7300,9600,9600,9600
GET,core:api_conteo_estudiantes,66,0,1000.0,2377.7595212118977,183.0724999999802,7112.060699997528,155.0,0.23399448614061039,0.0,1300,4100,4600,4800,5700,5900,6500,7100,7100,7100,7100
GET,core:api_focalizaciones_existentes,147,0,1100.0,2474.0969666665324,176.76290000235895,7151.204699999653,302.0,0.5211695373131777,0.0,1100,4200,4700,5100,5700,6300,6700,6900,7200,7200,7200
GET,core:api_focalizaciones_programa,146,0,1100.0,2221.6874869861113,177.2686000003887,8150.684699998237,26.0,0.5176241663110472,0.0,1100,2800,4400,4800,5100,5700,7700,8100,8200,8200,8200
GET,core:api_sedes_completas,142,0,800.0,1754.8850457745393,219.43000000101165,6449.328299997433,3112.0,0.5034426823025254,0.0,820,1500,2900,3900,4800,5300,6000,6400,6400,6400,6400
GET,core:contabilidad_api_dashboard_unificado,162,0,1000.0,2203.290169135661,342.94949999821256,8544.538699999976,8763.0,0.5743501023451346,0.0,1000,2100,3800,4600,5400,6000,7300,8200,8500,8500,8500
GET,core:contabilidad_api_registros,163,0,1100.0,2559.2239214724023,253.40789999972912,7707.95999999973,4454.0,0.5778954733472651,0.0,1100,4300,5000,5200,6000,6500,6800,7100,7700,7700,7700
GET,core:contabilidad_home,141,0,2500.0,2897.2615014184976,175.10720000063884,7204.889000000549,8905.0,0.49989731130039494,0.0,2500,4600,5100,5400,5800,6100,6700,7200,7200,7200,7200
GET,core:contabilidad_mis_registros,138,0,830.0,2069.95610289833,190.78330000047572,8168.681600000127,12437.0,0.48926119829400355,0.0,840,2300,4200,4400,5300,5900,7400,8000,8200,8200,8200
GET,core:dashboard,166,0,1900.0,2767.013260240969,172.97509999843896,7759.755499999301,9944.0,0.5885315863536564,0.0,2000,4700,5000,5200,5800,6300,7200,7200,7800,7800,7800
GET,core:facturacion_home,134,0,1600.0,2754.925664925367,175.90779999954975,7910.899900001823,9028.0,0.47507971428548174,0.0,2000,4500,4900,5300,5800,6300,7400,7500,7900,7900,7900
GET,core:facturacion_reportes,134,0,1300.0,2274.8867029851085,215.65430000191554,7372.4895999985165,21126.0,0.47507971428548174,0.0,1300,2600,4300,4700,5200,5600,6700,6900,7400,7400,7400
GET,ctx:agente_programas,40,0,5800.0,6469.58031499953,320.5745000013849,18231.675499999255,604.0,0.1418148400852184,0.0,5900,6800,9500,9600,18000,18000,18000,18000,18000,18000,18000
GET,ctx:focalizaciones,240,0,1100.0,3067.031535416752,169.8733999983233,11071.877800000948,22.666666666666668,0.8508890405113105,0.0,1100,4800,5900,6500,8500,8900,10000,11000,11000,11000,11000
GET,ctx:modalidad_pool_probe,40,0,550.0,2316.520212499836,173.23909999686293,7278.959499999473,31.0,0.1418148400852184,0.0,610,2100,5600,5700,6800,7200,7300,7300,7300,7300,7300
GET,ctx:sedes_completas,240,0,950.0,2959.4010966665646,173.4969999997702,9836.672800000088,543.6666666666666,0.8508890405113105,0.0,960,4800,5900,6500,7900,8700,9400,9500,9800,9800,9800
,Aggregated,2609,3,1300.0,3324.4308874280705,169.8733999983233,42055.18429999938,5664.609045611345,9.249872944558371,0.010636113006391381,1300,4300,5000,5400,6600,8500,18000,29000,42000,42000,42000
