Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,40,0,8500.0,9023.253132500118,4244.129700000485,12876.174799999717,14287.0,0.06587316422596942,0.0,8700,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000
POST,auth:login_submit,40,0,4600.0,4452.477665000151,435.47509999916656,7730.024100001174,0.0,0.06587316422596942,0.0,4600,5500,7000,7100,7500,7700,7700,7700,7700,7700,7700
GET,auth:logout,28,20,8600.0,8631.905528571353,8558.479600000283,8707.772900001146,914.1428571428571,0.0461112149581786,0.03293658211298471,8600,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
GET,core:agente_api_pool_disponible,859,513,190.0,231.81139569271173,165.26970000268193,2375.427700000728,99.081490104773,1.4146262017526934,0.8448233311980579,190,200,220,230,280,370,680,1200,2400,2400,2400
GET,core:agente_api_programas,1179,751,190.0,216.3751961832144,165.31249999752617,1524.753999998211,311.62595419847327,1.9416115155604488,1.2367686583425759,190,200,210,220,260,330,420,620,1500,1500,1500
GET,core:agente_generar_lote,1180,729,200.0,236.51014491521084,167.80029999790713,3710.21330000076,4625.952542372881,1.9432583446660978,1.2005384180182928,200,230,240,250,290,370,500,690,1200,3700,3700
GET,core:agente_home,1181,742,210.0,250.42365808636174,172.38730000099167,2350.824699999066,4978.832345469941,1.944905173771747,1.2219471963917328,210,240,250,260,310,380,630,1100,2100,2400,2400
GET,core:api_conteo_estudiantes,573,335,190.0,250.63807591616626,162.24640000291402,3639.2349999987346,149.15357766143106,0.943633077537012,0.5516877503924938,190,210,220,240,300,420,950,1500,3600,3600,3600
GET,core:api_focalizaciones_existentes,1206,726,190.0,223.7393549751401,161.62689999691793,1907.3403000002145,207.48756218905473,1.986075901412978,1.195597930701345,190,200,210,220,270,350,560,830,1600,1900,1900
GET,core:api_focalizaciones_programa,1204,740,190.0,226.81237383720287,161.38150000188034,2314.2690000022412,99.13953488372093,1.9827822432016795,1.2186535381804342,190,200,220,230,270,330,480,1100,2100,2300,2300
GET,core:api_sedes_completas,1204,757,190.0,215.71686320594895,161.60029999809922,2026.147000000492,1246.5357142857142,1.9827822432016795,1.2466496329764714,190,200,210,220,260,310,420,620,1500,2000,2000
GET,core:contabilidad_api_dashboard_unificado,1549,937,240.0,292.2645743705835,174.3629000011424,3701.734900001611,3549.916720464816,2.5509382846506656,1.5430788719933337,240,320,340,360,410,480,660,1000,3600,3700,3700
GET,core:contabilidad_api_registros,1551,927,240.0,266.3773833011227,174.53179999938584,3794.843400002719,1878.6015473887815,2.554231942861964,1.5266105809368413,240,260,270,280,350,430,600,960,3600,3800,3800
GET,core:contabilidad_home,1443,898,200.0,246.7617417879522,165.29289999743924,3752.543799997511,3453.5239085239086,2.376374399451847,1.4788525368730134,200,220,240,250,290,370,770,1200,3600,3800,3800
GET,core:contabilidad_mis_registros,1442,896,210.0,234.63236061027976,168.60299999825656,1969.2775000003166,4799.252427184466,2.3747275703461974,1.475558878661715,210,230,240,250,290,350,450,550,1600,2000,2000
GET,core:dashboard,1791,1096,200.0,231.6907909547622,164.24630000256002,2876.1779999986175,3947.5153545505304,2.9494709282177807,1.8049246997915622,200,210,220,230,280,350,650,1100,2200,2900,2900
GET,core:facturacion_home,1414,820,200.0,240.48672100423946,167.28969999894616,3671.755100000155,3876.6138613861385,2.328616355388019,1.350399866632373,200,210,220,240,290,370,780,1100,3700,3700,3700
GET,core:facturacion_reportes,1414,846,220.0,248.80853599715996,173.6139999993611,2153.325799998129,8573.011315417256,2.328616355388019,1.3932174233792531,220,260,270,280,330,390,460,560,1400,2200,2200
GET,ctx:agente_programas,40,3,3900.0,3281.442632500057,195.44730000052368,7425.83310000191,569.575,0.06587316422596942,0.004940487316947706,4000,4800,5000,5100,7400,7400,7400,7400,7400,7400,7400
GET,ctx:focalizaciones,222,15,310.0,1377.4460581080189,166.83529999863822,7426.133199998731,30.923423423423422,0.36559606145413026,0.024702436584738533,310,460,710,4000,5000,5500,7200,7400,7400,7400,7400
GET,ctx:modalidad_pool_probe,41,1,180.0,209.99266341486208,167.44690000268747,515.6468999994104,33.78048780487805,0.06751999333161865,0.0016468291056492355,180,200,210,210,240,330,520,520,520,520,520
GET,ctx:sedes_completas,222,20,240.0,1347.9741099100295,161.25299999839626,7466.135099999519,512.3783783783783,0.36559606145413026,0.03293658211298471,240,340,540,1000,5100,7400,7400,7400,7500,7500,7500
,Aggregated,19823,11772,200.0,311.1565510013662,161.25299999839626,12876.174799999717,3000.5118801392323,32.64509336128479,19.3864722317028,200,220,250,260,330,430,980,4000,8700,13000,13000
