Method,Name,Error,Occurrences
GET,core:api_focalizaciones_existentes,HTTPError('500 Server Error:  for url: core:api_focalizaciones_existentes'),15
GET,core:contabilidad_api_registros,HTTPError('500 Server Error:  for url: core:contabilidad_api_registros'),141
GET,core:contabilidad_api_dashboard_unificado,HTTPError('500 Server Error:  for url: core:contabilidad_api_dashboard_unificado'),131
GET,ctx:agente_programas,HTTPError('500 Server Error:  for url: ctx:agente_programas'),10
GET,core:api_focalizaciones_programa,HTTPError('500 Server Error:  for url: core:api_focalizaciones_programa'),10
GET,ctx:modalidad_pool_probe,HTTPError('500 Server Error:  for url: ctx:modalidad_pool_probe'),50
GET,core:dashboard,HTTPError('500 Server Error:  for url: core:dashboard'),132
GET,ctx:sedes_completas,HTTPError('500 Server Error:  for url: ctx:sedes_completas'),40
GET,core:agente_home,HTTPError('500 Server Error:  for url: core:agente_home'),97
POST,auth:login_submit,HTTPError('500 Server Error:  for url: auth:login_submit'),35
GET,core:contabilidad_mis_registros,HTTPError('500 Server Error:  for url: core:contabilidad_mis_registros'),137
GET,core:api_sedes_completas,HTTPError('500 Server Error:  for url: core:api_sedes_completas'),15
GET,core:api_conteo_estudiantes,HTTPError('500 Server Error:  for url: core:api_conteo_estudiantes'),3
GET,core:agente_api_programas,HTTPError('500 Server Error:  for url: core:agente_api_programas'),94
GET,core:agente_api_pool_disponible,HTTPError('500 Server Error:  for url: core:agente_api_pool_disponible'),30
GET,ctx:focalizaciones,HTTPError('500 Server Error:  for url: ctx:focalizaciones'),38
GET,core:agente_generar_lote,HTTPError('500 Server Error:  for url: core:agente_generar_lote'),110
GET,core:facturacion_reportes,HTTPError('500 Server Error:  for url: core:facturacion_reportes'),94
GET,core:contabilidad_home,HTTPError('500 Server Error:  for url: core:contabilidad_home'),136
GET,core:facturacion_home,HTTPError('500 Server Error:  for url: core:facturacion_home'),99
