Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,40,0,8100.0,9099.14445499953,5144.200599999749,24184.57049999779,14287.0,0.06358187488093925,0.0,8100,8500,12000,12000,13000,13000,24000,24000,24000,24000,24000
POST,auth:login_submit,40,0,4200.0,5185.601840000072,740.6012999999803,10063.390999999683,0.0,0.06358187488093925,0.0,4200,6800,8100,8100,9000,9700,10000,10000,10000,10000,10000
GET,auth:logout,32,0,25000.0,25649.23105312561,19384.628499999963,29816.910199999256,2837.0,0.05086549990475139,0.0,25000,27000,27000,27000,28000,30000,30000,30000,30000,30000,30000
GET,core:agente_api_pool_disponible,163,0,4000.0,4763.281527607426,176.2754000010318,17773.837400000048,31.0,0.2590961401398274,0.0,4000,6900,8400,9100,10000,13000,14000,15000,18000,18000,18000
GET,core:agente_api_programas,220,0,980.0,3400.645985909069,183.522899998934,13280.57859999899,604.0,0.3497003118451658,0.0,990,4300,7200,8200,9500,10000,13000,13000,13000,13000,13000
GET,core:agente_generar_lote,224,0,1100.0,3699.5308758929796,221.43339999820455,17884.45810000121,11869.0,0.3560584993332598,0.0,1200,4200,6800,8600,10000,12000,13000,16000,18000,18000,18000
GET,core:agente_home,225,0,2600.0,4751.303671555443,219.00760000062292,17640.273199998774,13149.0,0.35764804620528323,0.0,2600,7000,8500,9300,12000,13000,13000,14000,18000,18000,18000
GET,core:api_conteo_estudiantes,147,0,5600.0,5548.7929755105515,184.38230000174372,17605.699200001254,155.0,0.23366339018745172,0.0,5600,8300,9500,10000,12000,13000,15000,18000,18000,18000,18000
GET,core:api_focalizaciones_existentes,264,0,2300.0,4802.973489772675,189.3595000001369,17931.893000000855,302.0,0.419640374214199,0.0,2400,7300,8800,9400,12000,13000,15000,18000,18000,18000,18000
GET,core:api_focalizaciones_programa,262,0,1100.0,3600.740396183251,178.5597999987658,18072.616299999936,26.0,0.416461280470152,0.0,1100,3700,6400,8300,10000,12000,13000,15000,18000,18000,18000
GET,core:api_sedes_completas,260,0,1000.0,3252.6776934613727,184.58370000007562,17694.710199997644,3112.0,0.41328218672610506,0.0,1000,1800,6100,7700,10000,11000,13000,13000,18000,18000,18000
GET,core:contabilidad_api_dashboard_unificado,312,0,1300.0,3644.1543022436535,320.72189999962575,18045.391600000585,8763.0,0.4959386240713261,0.0,1300,4200,6200,8000,9900,11000,13000,13000,18000,18000,18000
GET,core:contabilidad_api_registros,314,0,4700.0,4964.874790764157,245.6919999967795,15806.99199999799,4454.0,0.49911771781537306,0.0,4700,7500,8600,9000,11000,13000,14000,15000,16000,16000,16000
GET,core:contabilidad_home,284,0,4300.0,4962.505395070318,181.7592000006698,15075.259600002028,8905.0,0.4514313116546686,0.0,4400,7800,9000,9800,12000,13000,14000,15000,15000,15000,15000
GET,core:contabilidad_mis_registros,284,0,1200.0,3690.026939084535,200.48429999951622,17677.67090000052,12437.0,0.4514313116546686,0.0,1300,4400,6900,8500,10000,11000,13000,16000,18000,18000,18000
GET,core:dashboard,381,0,4500.0,5030.813317322714,172.38169999836828,17622.59830000039,9944.0,0.6056173582409463,0.0,4500,7500,8600,9400,12000,13000,15000,15000,18000,18000,18000
GET,core:facturacion_home,312,0,2200.0,4763.862539743637,171.53449999750592,15104.34879999957,9028.0,0.4959386240713261,0.0,2200,7300,8900,9600,12000,13000,14000,15000,15000,15000,15000
GET,core:facturacion_reportes,312,0,1300.0,3556.2474602564835,254.14989999990212,12860.434199999872,21126.0,0.4959386240713261,0.0,1300,3600,6600,8200,9900,11000,12000,13000,13000,13000,13000
GET,ctx:agente_programas,40,0,5200.0,5347.332612500122,317.40649999846937,10169.206899998244,604.0,0.06358187488093925,0.0,5600,7000,8100,8100,8700,9100,10000,10000,10000,10000,10000
GET,ctx:focalizaciones,240,0,1500.0,3629.858366250104,192.64140000086627,12901.047100000142,22.666666666666668,0.38149124928563544,0.0,1500,5400,7400,8100,9200,9600,13000,13000,13000,13000,13000
GET,ctx:modalidad_pool_probe,40,0,1500.0,3744.679835000079,189.18670000130078,11893.916400000307,31.0,0.06358187488093925,0.0,1500,7600,7900,8100,9400,11000,12000,12000,12000,12000,12000
GET,ctx:sedes_completas,240,0,1200.0,3739.353860416604,187.51179999890155,12905.024600000615,543.6666666666666,0.38149124928563544,0.0,1200,6200,8400,8600,9300,9600,11000,13000,13000,13000,13000
,Aggregated,4636,0,1700.0,4418.761838265728,171.53449999750592,29816.910199999256,6662.55284728214,7.369139298700858,0.0,1700,6400,8200,8900,11000,13000,14000,18000,27000,30000,30000
